condFile,numWords,condFiles,testFiles,alltrain1.thisRepN,alltrain1.thisTrialN,alltrain1.thisN,alltrain1.thisIndex,trial1phases.thisRepN,trial1phases.thisTrialN,trial1phases.thisN,trial1phases.thisIndex,train1Words.thisRepN,train1Words.thisTrialN,train1Words.thisN,train1Words.thisIndex,train1Questions.thisRepN,train1Questions.thisTrialN,train1Questions.thisN,train1Questions.thisIndex,alltrain2.thisRepN,alltrain2.thisTrialN,alltrain2.thisN,alltrain2.thisIndex,trial2phases.thisRepN,trial2phases.thisTrialN,trial2phases.thisN,trial2phases.thisIndex,train2Words.thisRepN,train2Words.thisTrialN,train2Words.thisN,train2Words.thisIndex,train2Questions.thisRepN,train2Questions.thisTrialN,train2Questions.thisN,train2Questions.thisIndex,test1Loop.thisRepN,test1Loop.thisTrialN,test1Loop.thisN,test1Loop.thisIndex,test2Loop.thisRepN,test2Loop.thisTrialN,test2Loop.thisN,test2Loop.thisIndex,instructions.started,instructions.stopped,train1Type.started,train1Type.stopped,skipTrain1Type.keys,skipTrain1Type.rt,skipTrain1Type.started,skipTrain1Type.stopped,train1QuestText.started,train1QuestText.stopped,train1QuestAdvance.keys,train1QuestAdvance.rt,train1QuestAdvance.started,train1QuestAdvance.stopped,train2warning3.started,train2warning3.stopped,train2warning2.started,train2warning2.stopped,train2warning1.started,train2warning1.stopped,skipTrain2Instr.keys,skipTrain2Instr.rt,skipTrain2Instr.started,skipTrain2Instr.stopped,train2Type.started,train2Type.stopped,skipTrain2Type.keys,skipTrain2Type.started,skipTrain2Type.stopped,train2QuestText.started,train2QuestText.stopped,train2QuestAdvance.keys,train2QuestAdvance.rt,train2QuestAdvance.started,train2QuestAdvance.stopped,skipTrain2Type.rt,skipTest1Instr.keys,skipTest1Instr.rt,skipTest1Instr.started,skipTest1Instr.stopped,test1warning3.started,test1warning3.stopped,test1warning2.started,test1warning2.stopped,test1warning1.started,test1warning1.stopped,test1Text.started,test1Text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,skipTest2Instr.keys,skipTest2Instr.rt,skipTest2Instr.started,skipTest2Instr.stopped,test2warning3.started,test2warning3.stopped,test2warning2.started,test2warning2.stopped,test2warning1.started,test2warning1.stopped,test2Text.started,test2Text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,skipTest3Instr.keys,skipTest3Instr.rt,skipTest3Instr.started,skipTest3Instr.stopped,test3warning3.started,test3warning3.stopped,test3warning2.started,test3warning2.stopped,test3warning1.started,test3warning1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
aoiConditions/train2P2LoopCondition.xlsx,four,aoiConditions/train2P2Block2.xlsx,aoiConditions/train2P2Block2Test.xlsx,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5108667742461,None,j,0.9967142920941114,102.5108667742461,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train2P2LoopCondition.xlsx,four,aoiConditions/train2P2Block3.xlsx,aoiConditions/train2P2Block3Test.xlsx,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6092016431503,None,j,0.3168608690612018,103.6092016431503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train2P2LoopCondition.xlsx,four,aoiConditions/train2P2Block4.xlsx,aoiConditions/train2P2Block4Test.xlsx,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.02274546539411,None,j,0.3391755148768425,104.02274546539411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train2P2LoopCondition.xlsx,four,aoiConditions/train2P2Block5.xlsx,aoiConditions/train2P2Block5Test.xlsx,,,,,,,,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.47006501955912,None,j,0.32322839088737965,104.47006501955912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train2P2LoopCondition.xlsx,four,aoiConditions/train2P2Block6.xlsx,aoiConditions/train2P2Block6Test.xlsx,,,,,,,,,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.88072941079736,None,j,0.32813731860369444,104.88072941079736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train2P2LoopCondition.xlsx,four,aoiConditions/train2P2Block7.xlsx,aoiConditions/train2P2Block7Test.xlsx,,,,,,,,,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.30413299892098,None,j,0.3635064414702356,105.30413299892098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
aoiConditions/train2P2LoopCondition.xlsx,four,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,4.781777574680746,105.72562074288726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.72562074288726,None,None,None,None,None,110.54697029199451,None,j,7.7342692306265235,110.54697029199451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1.7020804700441658,118.40353075787425,None,,,,,,,,,,,,,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.40353075787425,None,None,None,None,None,120.12935312883928,None,j,6.556120584253222,120.12935312883928,None,,,,,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,0.6615619007498026,126.75479754107073,None,,,,,,,instructions,001,2020_Aug_20_1318,sonority,2020.1.3,47.99585362730627,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.75479754107073,None,None,None,None,None,,,,,,,
